city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Cairo,Cairo,30.0444,31.2358,Egypt,EG,EGY,Al Qāhirah,primary,19787000,1818253931
Lagos,Lagos,6.4500,3.4000,Nigeria,NG,NGA,Lagos,minor,15487000,1566593751
Kinshasa,Kinshasa,-4.3317,15.3139,Congo (Kinshasa),CD,COD,Kinshasa,primary,15056000,1180000363
Luanda,Luanda,-8.8383,13.2344,Angola,AO,AGO,Luanda,primary,8883000,1024949724
Dar es Salaam,Dar es Salaam,-6.8000,39.2833,Tanzania,TZ,TZA,Dar es Salaam,primary,7461000,1834843853
Khartoum,Khartoum,15.6031,32.5265,Sudan,SD,SDN,Khartoum,primary,6017000,1729268475
Giza,Giza,29.9870,31.2118,Egypt,EG,EGY,Al Jīzah,admin,5598402,1818925479
Nairobi,Nairobi,-1.2864,36.8172,Kenya,KE,KEN,Nairobi City,primary,5545000,1404000661
Abidjan,Abidjan,5.3364,-4.0267,Côte d'Ivoire,CI,CIV,Abidjan,primary,4980000,1384207980
Alexandria,Alexandria,31.2000,29.9167,Egypt,EG,EGY,Al Iskandarīyah,admin,4870000,1818695837
Johannesburg,Johannesburg,-26.2044,28.0416,South Africa,ZA,ZAF,Gauteng,admin,4434827,1710550792
Casablanca,Casablanca,33.5992,-7.6200,Morocco,MA,MAR,Casablanca-Settat,admin,4370000,1504175315
Kano,Kano,12.0000,8.5167,Nigeria,NG,NGA,Kano,admin,3848885,1566422868
Algiers,Algiers,36.7764,3.0586,Algeria,DZ,DZA,Alger,primary,3415811,1012973369
Addis Ababa,Addis Ababa,9.0272,38.7369,Ethiopia,ET,ETH,Ādīs Ābeba,primary,3041002,1231824991
Antananarivo,Antananarivo,-18.9386,47.5214,Madagascar,MG,MDG,Antananarivo,primary,2610000,1450978461
Ibadan,Ibadan,7.3964,3.9167,Nigeria,NG,NGA,Oyo,admin,2550593,1566366407
Ouagadougou,Ouagadougou,12.3686,-1.5275,Burkina Faso,BF,BFA,Centre,primary,2453496,1854029208
Yaoundé,Yaounde,3.8578,11.5181,Cameroon,CM,CMR,Centre,primary,2440462,1120298240
Douala,Douala,4.0500,9.7000,Cameroon,CM,CMR,Littoral,admin,2446945,1120494607
Omdurman,Omdurman,15.6167,32.4800,Sudan,SD,SDN,Khartoum,,2395159,1729912179
Accra,Accra,5.6037,-0.1870,Ghana,GH,GHA,Greater Accra,primary,2291352,1288299415
Harare,Harare,-17.8292,31.0522,Zimbabwe,ZW,ZWE,Harare,primary,2150000,1716196799
Mogadishu,Mogadishu,2.0408,45.3425,Somalia,SO,SOM,Banaadir,primary,2120000,1706893395
Kumasi,Kumasi,6.6833,-1.6167,Ghana,GH,GHA,Ashanti,admin,2069350,1288181103
Bamako,Bamako,12.6458,-7.9922,Mali,ML,MLI,Bamako,primary,2009109,1466965925
Kananga,Kananga,-5.8961,22.4167,Congo (Kinshasa),CD,COD,Kasaï Central,admin,1971704,1180172460
Blantyre,Blantyre,-15.7861,35.0058,Malawi,MW,MWI,Blantyre,admin,1895973,1454145012
Meru,Meru,0.0500,37.6500,Kenya,KE,KEN,Meru,admin,1833000,1404588252
Brazzaville,Brazzaville,-4.2667,15.2833,Congo (Brazzaville),CG,COG,Brazzaville,primary,1827000,1178340306
Lubumbashi,Lubumbashi,-11.6697,27.4581,Congo (Kinshasa),CD,COD,Haut-Katanga,admin,1786397,1180506234
Lusaka,Lusaka,-15.4167,28.2833,Zambia,ZM,ZMB,Lusaka,primary,1742979,1894157390
Conakry,Conakry,9.5380,-13.6773,Guinea,GN,GIN,Conakry,primary,1667864,1324568159
Kampala,Kampala,0.3136,32.5811,Uganda,UG,UGA,Kampala,primary,1659600,1800406299
Mbuji-Mayi,Mbuji-Mayi,-6.1209,23.5967,Congo (Kinshasa),CD,COD,Kasaï Oriental,admin,1559073,1180399586
Aba,Aba,5.1167,7.3667,Nigeria,NG,NGA,Abia,minor,1530000,1566262000
Onitsha,Onitsha,6.1667,6.7833,Nigeria,NG,NGA,Anambra,minor,1483000,1566593483
El Kelaa des Srarhna,El Kelaa des Srarhna,32.0500,-7.4000,Morocco,MA,MAR,Marrakech-Safi,,1450021,1504846488
Cacuaco,Cacuaco,-8.7833,13.3667,Angola,AO,AGO,Luanda,,1279488,1024559448
Soweto,Soweto,-26.2678,27.8586,South Africa,ZA,ZAF,Gauteng,,1271628,1710627007
Abuja,Abuja,9.0556,7.4914,Nigeria,NG,NGA,Federal Capital Territory,primary,1235880,1566342270
Mombasa,Mombasa,-4.0500,39.6667,Kenya,KE,KEN,Mombasa,admin,1200000,1404512373
Maiduguri,Maiduguri,11.8333,13.1500,Nigeria,NG,NGA,Borno,admin,1197497,1566540296
Maputo,Maputo,-25.9153,32.5764,Mozambique,MZ,MOZ,Maputo,primary,1191613,1508074843
Pikine,Pikine,14.7500,-17.4000,Senegal,SN,SEN,Dakar,,1170791,1686165071
Dakar,Dakar,14.7319,-17.4572,Senegal,SN,SEN,Dakar,primary,1146053,1686604760
Kigali,Kigali,-1.9536,30.0606,Rwanda,RW,RWA,Kigali,primary,1156663,1646923541
Benin City,Benin City,6.3176,5.6145,Nigeria,NG,NGA,Edo,admin,1147188,1566080151
Tripoli,Tripoli,32.8752,13.1875,Libya,LY,LBY,Ţarābulus,primary,1126000,1434201852
Fès,Fes,34.0433,-5.0033,Morocco,MA,MAR,Fès-Meknès,admin,1112072,1504861997
N’Djamena,N'Djamena,12.1100,15.0500,Chad,TD,TCD,Ville de N’Djaména,primary,1092066,1148708596
Ikare,Ikare,7.5304,5.7600,Nigeria,NG,NGA,Ondo,minor,1099931,1566683694
Tamale,Tamale,9.4075,-0.8533,Ghana,GH,GHA,Northern,admin,1095808,1288890688
Nouakchott,Nouakchott,18.0858,-15.9785,Mauritania,MR,MRT,,primary,1077169,1478414984
Vereeniging,Vereeniging,-26.6736,27.9319,South Africa,ZA,ZAF,Gauteng,,1074000,1710271883
Tunis,Tunis,36.8008,10.1800,Tunisia,TN,TUN,Tunis,primary,1056247,1788742103
Matola,Matola,-25.9667,32.4667,Mozambique,MZ,MOZ,Maputo,,1032197,1508768577
Ogbomoso,Ogbomoso,8.1333,4.2500,Nigeria,NG,NGA,Oyo,minor,1032000,1566373448
Niamey,Niamey,13.5086,2.1111,Niger,NE,NER,Niamey,primary,1026848,1562932886
Shubrā al Khaymah,Shubra al Khaymah,30.1286,31.2422,Egypt,EG,EGY,Al Qalyūbīyah,,1025569,1818909612
Monrovia,Monrovia,6.3106,-10.8047,Liberia,LR,LBR,Montserrado,primary,1021762,1430477826
Port Harcourt,Port Harcourt,4.7500,7.0000,Nigeria,NG,NGA,Rivers,admin,1005904,1566070649
Asmara,Asmara,15.3333,38.9167,Eritrea,ER,ERI,Ma’ākel,primary,963000,1232791236
Freetown,Freetown,8.4833,-13.2331,Sierra Leone,SL,SLE,Western Area,primary,951000,1694085071
Bangui,Bangui,4.3732,18.5628,Central African Republic,CF,CAF,Bangui,primary,889231,1140080881
Lomé,Lome,6.1319,1.2228,Togo,TG,TGO,Maritime,primary,837437,1768409132
Libreville,Libreville,0.3901,9.4544,Gabon,GA,GAB,Estuaire,primary,797003,1266952885
Lilongwe,Lilongwe,-13.9833,33.7833,Malawi,MW,MWI,Lilongwe,primary,781538,1454688499
Cotonou,Cotonou,6.4020,2.5180,Benin,BJ,BEN,Littoral,primary,762000,1204955174
Pretoria,Pretoria,-25.7464,28.1881,South Africa,ZA,ZAF,Gauteng,primary,741651,1710176249
Bujumbura,Bujumbura,-3.3825,29.3611,Burundi,BI,BDI,Bujumbura Mairie,primary,658859,1108101689
Rabat,Rabat,34.0253,-6.8361,Morocco,MA,MAR,Rabat-Salé-Kénitra,primary,572717,1504023252
Djibouti,Djibouti,11.5950,43.1481,Djibouti,DJ,DJI,Djibouti,primary,562000,1262028958
Cape Town,Cape Town,-33.9250,18.4250,South Africa,ZA,ZAF,Western Cape,primary,433688,1710680650
Dodoma,Dodoma,-6.1835,35.7460,Tanzania,TZ,TZA,Dodoma,primary,410956,1834288497
Bissau,Bissau,11.8592,-15.5956,Guinea-Bissau,GW,GNB,Bissau,primary,395954,1624168850
Juba,Juba,4.8500,31.6000,South Sudan,SS,SSD,Central Equatoria,primary,372410,1728444337
Yamoussoukro,Yamoussoukro,6.8161,-5.2742,Côte d'Ivoire,CI,CIV,Yamoussoukro,primary,355573,1384683557
Maseru,Maseru,-29.3100,27.4800,Lesotho,LS,LSO,Maseru,primary,330790,1426977668
Windhoek,Windhoek,-22.5700,17.0836,Namibia,NA,NAM,Khomas,primary,322500,1516802003
Porto-Novo,Porto-Novo,6.4833,2.6167,Benin,BJ,BEN,Ouémé,primary,300000,1204172060
Bloemfontein,Bloemfontein,-29.1000,26.2167,South Africa,ZA,ZAF,Free State,primary,256185,1710495933
Gaborone,Gaborone,-24.6569,25.9086,Botswana,BW,BWA,Gaborone,primary,231626,1072756768
Saint-Denis,Saint-Denis,-20.8789,55.4481,Reunion,RE,REU,,primary,190047,1638024662
Malabo,Malabo,3.7521,8.7737,Equatorial Guinea,GQ,GNQ,Bioko Norte,primary,187302,1226861333
Port Louis,Port Louis,-20.1667,57.5000,Mauritius,MU,MUS,Port Louis,primary,149194,1480131261
Praia,Praia,14.9177,-23.5092,Cabo Verde,CV,CPV,Praia,primary,127832,1132398770
Moroni,Moroni,-11.7036,43.2536,Comoros,KM,COM,Grande Comore,primary,111329,1174793581
Mbabane,Mbabane,-26.3208,31.1617,Swaziland,SZ,SWZ,Hhohho,primary,94874,1748811945
São Tomé,Sao Tome,0.3333,6.7333,Sao Tome And Principe,ST,STP,São Tomé,primary,56166,1678301324
Gitega,Gitega,-3.4283,29.9250,Burundi,BI,BDI,Gitega,primary,41944,1108778000
Banjul,Banjul,13.4531,-16.5775,The Gambia,GM,GMB,Banjul,primary,31356,1270723713
Mamoudzou,Mamoudzou,-12.7871,45.2750,Mayotte,YT,MYT,,primary,32057,1175099654
Victoria,Victoria,-4.6236,55.4544,Seychelles,SC,SYC,English River,primary,26450,1690193579
Lobamba,Lobamba,-26.4465,31.2064,Swaziland,SZ,SWZ,Hhohho,primary,5800,1748963140
Tifariti,Tifariti,26.0928,-10.6089,Morocco,MA,MAR,Laâyoune-Sakia El Hamra,primary,,1504999990
Al Manşūrah,Al Mansurah,31.0500,31.3833,Egypt,EG,EGY,Ad Daqahlīyah,admin,960423,1818255319
Tangier,Tangier,35.7767,-5.8039,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,admin,947952,1504861504
Khartoum North,Khartoum North,15.6333,32.6333,Sudan,SD,SDN,Khartoum,,936349,1729318628
Kisangani,Kisangani,0.5153,25.1911,Congo (Kinshasa),CD,COD,Tshopo,admin,935977,1180478201
Marrakech,Marrakech,31.6295,-7.9811,Morocco,MA,MAR,Marrakech-Safi,admin,928850,1504172585
Owerri,Owerri,5.4833,7.0333,Nigeria,NG,NGA,Imo,admin,908109,1566679132
Bobo-Dioulasso,Bobo-Dioulasso,11.1833,-4.2833,Burkina Faso,BF,BFA,Hauts-Bassins,admin,903887,1854348796
