city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Moscow,Moscow,55.7558,37.6178,Russia,RU,RUS,Moskva,primary,17693000,1643318494
London,London,51.5072,-0.1275,United Kingdom,GB,GBR,"London, City of",primary,11120000,1826645935
Paris,Paris,48.8566,2.3522,France,FR,FRA,Île-de-France,primary,11027000,1250015082
Madrid,Madrid,40.4167,-3.7167,Spain,ES,ESP,Madrid,primary,6006000,1724616994
Saint Petersburg,Saint Petersburg,59.9500,30.3167,Russia,RU,RUS,Sankt-Peterburg,admin,5384342,1643616350
Barcelona,Barcelona,41.3825,2.1769,Spain,ES,ESP,Catalonia,admin,4735000,1724594040
Berlin,Berlin,52.5167,13.3833,Germany,DE,DEU,Berlin,primary,3664088,1276451290
Kyiv,Kyiv,50.4500,30.5236,Ukraine,UA,UKR,"Kyyiv, Misto",primary,2963199,1804382913
Rome,Rome,41.8931,12.4828,Italy,IT,ITA,Lazio,primary,2872800,1380382862
Minsk,Minsk,53.9022,27.5618,Belarus,BY,BLR,Minsk,primary,2009786,1112348503
Vienna,Vienna,48.2083,16.3725,Austria,AT,AUT,Wien,primary,1911191,1040261752
Bucharest,Bucharest,44.4000,26.0833,Romania,RO,ROU,Bucureşti,primary,1883425,1642414442
Hamburg,Hamburg,53.5500,10.0000,Germany,DE,DEU,Hamburg,admin,1852478,1276041799
Warsaw,Warsaw,52.2300,21.0111,Poland,PL,POL,Mazowieckie,primary,1790658,1616024847
Brussels,Brussels,50.8353,4.3314,Belgium,BE,BEL,Brussels-Capital Region,primary,1743000,1056469830
Budapest,Budapest,47.4983,19.0408,Hungary,HU,HUN,Budapest,primary,1723836,1348611435
Novosibirsk,Novosibirsk,55.0333,82.9167,Russia,RU,RUS,Novosibirskaya Oblast’,admin,1602915,1643399240
Munich,Munich,48.1375,11.5750,Germany,DE,DEU,Bavaria,admin,1488202,1276692352
Yekaterinburg,Yekaterinburg,56.8356,60.6128,Russia,RU,RUS,Sverdlovskaya Oblast’,admin,1468833,1643582706
Kharkiv,Kharkiv,50.0000,36.2292,Ukraine,UA,UKR,Kharkivs’ka Oblast’,admin,1446107,1804588111
Belgrade,Belgrade,44.8167,20.4667,Serbia,RS,SRB,Beograd,primary,1378682,1688374696
Milan,Milan,45.4669,9.1900,Italy,IT,ITA,Lombardy,admin,1366180,1380724377
Prague,Prague,50.0833,14.4167,Czechia,CZ,CZE,"Praha, Hlavní Město",primary,1335084,1203744823
Sofia,Sofia,42.6979,23.3217,Bulgaria,BG,BGR,Sofia-Grad,primary,1277411,1100762037
Nizhniy Novgorod,Nizhniy Novgorod,56.3269,44.0075,Russia,RU,RUS,Nizhegorodskaya Oblast’,admin,1264075,1643012126
Kazan,Kazan,55.7908,49.1144,Russia,RU,RUS,Tatarstan,admin,1243500,1643101260
Chelyabinsk,Chelyabinsk,55.1500,61.4000,Russia,RU,RUS,Chelyabinskaya Oblast’,admin,1202371,1643224011
Omsk,Omsk,54.9667,73.3833,Russia,RU,RUS,Omskaya Oblast’,admin,1178391,1643360863
Samara,Samara,53.1833,50.1167,Russia,RU,RUS,Samarskaya Oblast’,admin,1169719,1643205757
Birmingham,Birmingham,52.4800,-1.9025,United Kingdom,GB,GBR,Birmingham,,1137100,1826423213
Rostov,Rostov,47.2333,39.7167,Russia,RU,RUS,Rostovskaya Oblast’,admin,1125299,1643013518
Ufa,Ufa,54.7261,55.9475,Russia,RU,RUS,Bashkortostan,admin,1115560,1643722928
Copenhagen,Copenhagen,55.6805,12.5615,Denmark,DK,DNK,Hovedstaden,primary,1085000,1208763942
Krasnoyarsk,Krasnoyarsk,56.0089,92.8719,Russia,RU,RUS,Krasnoyarskiy Kray,admin,1083865,1643544975
