city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Mexico City,Mexico City,19.4333,-99.1333,Mexico,MX,MEX,Ciudad de México,primary,21505000,1484247881
New York,New York,40.6943,-73.9249,United States,US,USA,New York,,18713220,1840034016
Los Angeles,Los Angeles,34.1139,-118.4068,United States,US,USA,California,,12750807,1840020491
Chicago,Chicago,41.8373,-87.6862,United States,US,USA,Illinois,,8604203,1840000494
Miami,Miami,25.7839,-80.2102,United States,US,USA,Florida,,6445545,1840015149
Dallas,Dallas,32.7936,-96.7662,United States,US,USA,Texas,,5743938,1840019440
Philadelphia,Philadelphia,40.0077,-75.1339,United States,US,USA,Pennsylvania,,5649300,1840000673
Houston,Houston,29.7863,-95.3889,United States,US,USA,Texas,,5464251,1840020925
Guadalajara,Guadalajara,20.6767,-103.3475,Mexico,MX,MEX,Jalisco,admin,5437000,1484950208
Atlanta,Atlanta,33.7627,-84.4224,United States,US,USA,Georgia,admin,5449398,1840013660
Toronto,Toronto,43.7417,-79.3733,Canada,CA,CAN,Ontario,admin,5429524,1124279679
Washington,Washington,38.9047,-77.0163,United States,US,USA,District of Columbia,primary,5379184,1840006060
Boston,Boston,42.3188,-71.0846,United States,US,USA,Massachusetts,admin,4688346,1840000455
Phoenix,Phoenix,33.5722,-112.0891,United States,US,USA,Arizona,admin,4219697,1840020568
Seattle,Seattle,47.6211,-122.3244,United States,US,USA,Washington,,3789215,1840021117
San Francisco,San Francisco,37.7562,-122.4430,United States,US,USA,California,,3592294,1840021543
Montréal,Montreal,45.5089,-73.5617,Canada,CA,CAN,Quebec,,3519595,1124586170
Detroit,Detroit,42.3834,-83.1024,United States,US,USA,Michigan,,3506126,1840003971
San Diego,San Diego,32.8312,-117.1225,United States,US,USA,California,,3220118,1840021990
Minneapolis,Minneapolis,44.9635,-93.2678,United States,US,USA,Minnesota,,2977172,1840007830
Guatemala City,Guatemala City,14.6099,-90.5252,Guatemala,GT,GTM,Guatemala,primary,2934841,1320197916
Tampa,Tampa,27.9942,-82.4451,United States,US,USA,Florida,,2908063,1840015982
Denver,Denver,39.7621,-104.8759,United States,US,USA,Colorado,admin,2876625,1840018789
Santo Domingo,Santo Domingo,18.4764,-69.8933,Dominican Republic,DO,DOM,Ozama,primary,2581827,1214636202
Brooklyn,Brooklyn,40.6501,-73.9496,United States,US,USA,New York,,2559903,1840034030
Vancouver,Vancouver,49.2500,-123.1000,Canada,CA,CAN,British Columbia,,2264823,1124825478
Queens,Queens,40.7498,-73.7976,United States,US,USA,New York,,2230722,1840034002
Havana,Havana,23.1367,-82.3589,Cuba,CU,CUB,La Habana,primary,2141652,1192752771
Riverside,Riverside,33.9381,-117.3948,United States,US,USA,California,,2107852,1840020551
Baltimore,Baltimore,39.3051,-76.6144,United States,US,USA,Maryland,,2106068,1840001592
Las Vegas,Las Vegas,36.2333,-115.2654,United States,US,USA,Nevada,,2104198,1840020364
Portland,Portland,45.5372,-122.6500,United States,US,USA,Oregon,,2074775,1840019941
San Antonio,San Antonio,29.4658,-98.5253,United States,US,USA,Texas,,2049293,1840022220
St. Louis,St. Louis,38.6358,-90.2451,United States,US,USA,Missouri,,2024074,1840001651
Tijuana,Tijuana,32.5250,-117.0333,Mexico,MX,MEX,Baja California,minor,1922523,1484708778
Sacramento,Sacramento,38.5667,-121.4683,United States,US,USA,California,admin,1898019,1840021491
Ecatepec,Ecatepec,19.6097,-99.0600,Mexico,MX,MEX,México,minor,1857188,1484003694
Orlando,Orlando,28.4772,-81.3369,United States,US,USA,Florida,,1822394,1840015099
San Jose,San Jose,37.3019,-121.8486,United States,US,USA,California,,1798103,1840021570
Cleveland,Cleveland,41.4767,-81.6804,United States,US,USA,Ohio,,1710093,1840000596
Pittsburgh,Pittsburgh,40.4396,-79.9762,United States,US,USA,Pennsylvania,,1703266,1840001254
Austin,Austin,30.3004,-97.7522,United States,US,USA,Texas,admin,1687311,1840019590
Cincinnati,Cincinnati,39.1413,-84.5061,United States,US,USA,Ohio,,1662691,1840003814
Kansas City,Kansas City,39.1239,-94.5541,United States,US,USA,Missouri,,1636715,1840008535
Manhattan,Manhattan,40.7834,-73.9662,United States,US,USA,New York,,1628706,1840034000
Indianapolis,Indianapolis,39.7771,-86.1458,United States,US,USA,Indiana,admin,1588961,1840030084
León de los Aldama,Leon de los Aldama,21.1167,-101.6833,Mexico,MX,MEX,Guanajuato,minor,1579803,1484811199
Puebla,Puebla,19.0333,-98.1833,Mexico,MX,MEX,Puebla,admin,1576259,1484416394
Columbus,Columbus,39.9862,-82.9850,United States,US,USA,Ohio,admin,1562009,1840003760
Charlotte,Charlotte,35.2080,-80.8304,United States,US,USA,North Carolina,,1512923,1840014557
Virginia Beach,Virginia Beach,36.7335,-76.0435,United States,US,USA,Virginia,,1478868,1840003871
Zapopan,Zapopan,20.7167,-103.4000,Mexico,MX,MEX,Jalisco,minor,1476491,1484198680
Bronx,Bronx,40.8501,-73.8662,United States,US,USA,New York,,1418207,1840033999
Milwaukee,Milwaukee,43.0642,-87.9673,United States,US,USA,Wisconsin,,1365787,1840003046
Santiago,Santiago,19.4500,-70.7000,Dominican Republic,DO,DOM,Cibao Norte,admin,1343423,1214985348
Juárez,Juarez,31.7386,-106.4870,Mexico,MX,MEX,Chihuahua,minor,1321004,1484840083
