city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Sydney,Sydney,-33.8650,151.2094,Australia,AU,AUS,New South Wales,admin,4840600,1036074917
Melbourne,Melbourne,-37.8136,144.9631,Australia,AU,AUS,Victoria,admin,4529500,1036533631
Brisbane,Brisbane,-27.4678,153.0281,Australia,AU,AUS,Queensland,admin,2360241,1036192929
Perth,Perth,-31.9522,115.8589,Australia,AU,AUS,Western Australia,admin,2039200,1036178956
Auckland,Auckland,-36.8500,174.7833,New Zealand,NZ,NZL,Auckland,admin,1346091,1554435911
Adelaide,Adelaide,-34.9275,138.6000,Australia,AU,AUS,South Australia,admin,1295714,1036538171
Wellington,Wellington,-41.2889,174.7772,New Zealand,NZ,NZL,Wellington,primary,418500,1554772152
Canberra,Canberra,-35.2931,149.1269,Australia,AU,AUS,Australian Capital Territory,primary,381488,1036142029
Port Moresby,Port Moresby,-9.4789,147.1494,Papua New Guinea,PG,PNG,National Capital,primary,317374,1598685395
Papeete,Papeete,-17.5334,-149.5667,French Polynesia,PF,PYF,Îles du Vent,primary,131695,1258907380
Nouméa,Noumea,-22.2625,166.4443,New Caledonia,NC,NCL,Province Sud,primary,93060,1540958092
Honiara,Honiara,-9.4333,159.9500,Solomon Islands,SB,SLB,Honiara,primary,84520,1090737486
Suva,Suva,-18.1333,178.4333,Fiji,FJ,FJI,Rewa,primary,88271,1242615095
Port-Vila,Port-Vila,-17.7333,168.3167,Vanuatu,VU,VUT,Shefa,primary,51437,1548805075
Apia,Apia,-13.8333,-171.8333,Samoa,WS,WSM,Tuamasaga,primary,37708,1882489296
Tarawa,Tarawa,1.3382,173.0176,Kiribati,KI,KIR,,primary,28802,1296152641
Majuro,Majuro,7.0918,171.3802,Marshall Islands,MH,MHL,Majuro,primary,30000,1584000000
Nuku‘alofa,Nuku`alofa,-21.1347,-175.2083,Tonga,TO,TON,Tongatapu,primary,23221,1776737461
Pago Pago,Pago Pago,-14.2740,-170.7046,American Samoa,AS,ASM,,primary,12576,1016976740
Palikir,Palikir,6.9178,158.1850,Federated States of Micronesia,FM,FSM,Pohnpei,primary,6227,1583008885
Funafuti,Funafuti,-8.5243,179.1942,Tuvalu,TV,TUV,Funafuti,primary,6025,1798251391
Avarua,Avarua,-21.2070,-159.7710,Cook Islands,CK,COK,,primary,5445,1184217570
Capitol Hill,Capitol Hill,15.2137,145.7546,Northern Mariana Islands,MP,MNP,,primary,2500,1580556972
Alofi,Alofi,-19.0560,-169.9210,Niue,NU,NIU,,primary,1611,1570882835
Hagåtña,Hagta,13.4745,144.7504,Guam,GU,GUM,,primary,1051,1316937540
Yaren,Yaren,-0.5477,166.9209,Nauru,NR,NRU,Yaren,primary,,1520790128
Ngerulmud,Ngerulmud,7.5006,134.6242,Palau,PW,PLW,Melekeok,primary,271,1585525081
Mata-Utu,Mata-Utu,-13.2825,-176.1736,Wallis And Futuna,WF,WLF,Uvea,primary,,1876784844
Kingston,Kingston,-29.0569,167.9617,Norfolk Island,NF,NFK,,primary,,1574121434
Flying Fish Cove,Flying Fish Cove,-10.4167,105.7167,Christmas Island,CX,CXR,,primary,,1162889600
Gold Coast,Gold Coast,-28.0167,153.4000,Australia,AU,AUS,Queensland,,638090,1036153217
Cranbourne,Cranbourne,-38.0996,145.2834,Australia,AU,AUS,Victoria,,460491,1036685862
Christchurch,Christchurch,-43.5309,172.6365,New Zealand,NZ,NZL,Canterbury,admin,383200,1554377228
Manukau City,Manukau City,-37.0000,174.8850,New Zealand,NZ,NZL,Auckland,,375600,1554797148
Central Coast,Central Coast,-33.3000,151.2000,Australia,AU,AUS,New South Wales,,297713,1036067845
Wollongong,Wollongong,-34.4331,150.8831,Australia,AU,AUS,New South Wales,,261896,1036502269
Hobart,Hobart,-42.8806,147.3250,Australia,AU,AUS,Tasmania,admin,222356,1036679838
Northcote,Northcote,-36.7913,174.7758,New Zealand,NZ,NZL,Auckland,,205605,1554717659
Waitakere,Waitakere,-36.8490,174.5430,New Zealand,NZ,NZL,Auckland,,208100,1554034359
Geelong,Geelong,-38.1500,144.3500,Australia,AU,AUS,Victoria,,184182,1036870987
Townsville,Townsville,-19.2500,146.8167,Australia,AU,AUS,Queensland,,178649,1036500020
Hamilton,Hamilton,-37.7833,175.2833,New Zealand,NZ,NZL,Waikato,admin,176500,1554873040
Ipswich,Ipswich,-27.6167,152.7667,Australia,AU,AUS,Queensland,,163000,1036244388
Newcastle,Newcastle,-32.9167,151.7500,Australia,AU,AUS,New South Wales,,152984,1036468001
Cairns,Cairns,-16.9200,145.7800,Australia,AU,AUS,Queensland,,146778,1036016939
Darwin,Darwin,-12.4381,130.8411,Australia,AU,AUS,Northern Territory,admin,136828,1036497565
Toowoomba,Toowoomba,-27.5667,151.9500,Australia,AU,AUS,Queensland,,135631,1036765315
Tauranga,Tauranga,-37.6858,176.1667,New Zealand,NZ,NZL,Bay of Plenty,,135000,1554759867
Maina,Maina,13.4692,144.7332,Guam,GU,GUM,,,122411,1316874021
Launceston,Launceston,-41.4419,147.1450,Australia,AU,AUS,Tasmania,,106153,1036170383
Lower Hutt,Lower Hutt,-41.2167,174.9167,New Zealand,NZ,NZL,Wellington,,103400,1554623632
Lae,Lae,-6.7303,147.0008,Papua New Guinea,PG,PNG,Morobe,admin,100677,1598466091
Dunedin,Dunedin,-45.8742,170.5036,New Zealand,NZ,NZL,Otago,admin,99885,1554475997
Palmerston North,Palmerston North,-40.3549,175.6095,New Zealand,NZ,NZL,Manawatu-Wanganui,admin,76236,1554138183
