city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
São Paulo,Sao Paulo,-23.5504,-46.6339,Brazil,BR,BRA,São Paulo,admin,22495000,1076532519
Buenos Aires,Buenos Aires,-34.5997,-58.3819,Argentina,AR,ARG,"Buenos Aires, Ciudad Autónoma de",primary,16216000,1032717330
Rio de Janeiro,Rio de Janeiro,-22.9083,-43.1964,Brazil,BR,BRA,Rio de Janeiro,admin,12486000,1076887657
Lima,Lima,-12.0600,-77.0375,Peru,PE,PER,Lima,primary,8992000,1604728603
Bogotá,Bogota,4.6126,-74.0705,Colombia,CO,COL,Bogotá,primary,7743955,1170483426
Santiago,Santiago,-33.4500,-70.6667,Chile,CL,CHL,Región Metropolitana,primary,7026000,1152554349
Belo Horizonte,Belo Horizonte,-19.9281,-43.9419,Brazil,BR,BRA,Minas Gerais,admin,5159000,1076967355
Timbío,Timbio,2.3528,-76.6819,Colombia,CO,COL,Cauca,minor,4444444,1170815311
Santa Cruz,Santa Cruz,-17.7892,-63.1975,Bolivia,BO,BOL,Santa Cruz,admin,3151676,1068129363
Brasília,Brasilia,-15.7939,-47.8828,Brazil,BR,BRA,Distrito Federal,primary,3015268,1076144436
Salvador,Salvador,-12.9708,-38.5108,Brazil,BR,BRA,Bahia,admin,2886698,1076923789
La Paz,La Paz,-16.4942,-68.1475,Bolivia,BO,BOL,La Paz,primary,2867504,1068000064
Guayaquil,Guayaquil,-2.1900,-79.8875,Ecuador,EC,ECU,Guayas,admin,2723665,1218802178
Medellín,Medellin,6.2447,-75.5748,Colombia,CO,COL,Antioquia,admin,2529403,1170680389
Cali,Cali,3.4400,-76.5197,Colombia,CO,COL,Valle del Cauca,admin,2471474,1170417589
Fortaleza,Fortaleza,-3.7275,-38.5275,Brazil,BR,BRA,Ceará,admin,2452185,1076567885
Quito,Quito,-0.2200,-78.5125,Ecuador,EC,ECU,Pichincha,primary,2011388,1218441993
Caracas,Caracas,10.5000,-66.9333,Venezuela,VE,VEN,Distrito Capital,primary,1943901,1862748204
Curitiba,Curitiba,-25.4297,-49.2719,Brazil,BR,BRA,Paraná,admin,1879355,1076701712
Manaus,Manaus,-3.1000,-60.0167,Brazil,BR,BRA,Amazonas,admin,1802014,1076607274
Recife,Recife,-8.0539,-34.8808,Brazil,BR,BRA,Pernambuco,admin,1653461,1076137337
Maracaibo,Maracaibo,10.6333,-71.6333,Venezuela,VE,VEN,Zulia,admin,1551539,1862072711
Belém,Belem,-1.4558,-48.5039,Brazil,BR,BRA,Pará,admin,1499641,1076646823
Porto Alegre,Porto Alegre,-30.0328,-51.2300,Brazil,BR,BRA,Rio Grande do Sul,admin,1484941,1076658221
Valencia,Valencia,10.1667,-68.0000,Venezuela,VE,VEN,Carabobo,admin,1484430,1862309871
Goiânia,Goiania,-16.6806,-49.2564,Brazil,BR,BRA,Goiás,admin,1393575,1076034054
Córdoba,Cordoba,-31.4167,-64.1833,Argentina,AR,ARG,Córdoba,admin,1329604,1032803249
Guarulhos,Guarulhos,-23.4667,-46.5333,Brazil,BR,BRA,São Paulo,,1324781,1076730420
Montevideo,Montevideo,-34.8667,-56.1667,Uruguay,UY,URY,Montevideo,primary,1319108,1858107000
Barranquilla,Barranquilla,10.9639,-74.7964,Colombia,CO,COL,Atlántico,admin,1274250,1170179113
Vila Velha,Vila Velha,3.2167,-51.2167,Brazil,BR,BRA,Amapá,,1209091,1076575691
Rosario,Rosario,-32.9575,-60.6394,Argentina,AR,ARG,Santa Fe,minor,1193605,1032770677
Campinas,Campinas,-22.9009,-47.0573,Brazil,BR,BRA,São Paulo,,1164098,1076145766
Callao,Callao,-12.0611,-77.1333,Peru,PE,PER,Callao,admin,1129854,1604422141
São Gonçalo,Sao Goncalo,-22.8269,-43.0539,Brazil,BR,BRA,Rio de Janeiro,,1077687,1076485783
São Luís,Sao Luis,-2.5300,-44.3028,Brazil,BR,BRA,Maranhão,admin,1073893,1076819308
Barquisimeto,Barquisimeto,10.0678,-69.3467,Venezuela,VE,VEN,Lara,admin,1059092,1862860739
Cartagena,Cartagena,10.4236,-75.5253,Colombia,CO,COL,Bolívar,admin,1036412,1170886102
Maceió,Maceio,-9.6658,-35.7350,Brazil,BR,BRA,Alagoas,admin,1025360,1076440479
Arequipa,Arequipa,-16.3988,-71.5369,Peru,PE,PER,Arequipa,admin,1008290,1604723954
Asunción,Asuncion,-25.3000,-57.6333,Paraguay,PY,PRY,Asunción,primary,524190,1600057911
Sucre,Sucre,-19.0431,-65.2592,Bolivia,BO,BOL,Chuquisaca,primary,300000,1068823873
Paramaribo,Paramaribo,5.8667,-55.1667,Suriname,SR,SUR,Paramaribo,primary,223757,1740518660
